t,S,E,I1,I2,R,G1,G2,I_total,G_total,h
74.5,0.42153401480053415,0.04113447056285591,0.04357634299096704,0.013201180168662086,0.29743739365207306,0.10302613151418441,0.08009046631072336,0.056777523159629126,0.18311659782490777,1.0
74.55,0.42139006347650826,0.041070730857426734,0.043519410933047974,0.013183023273707012,0.29758696067526036,0.10310416453220757,0.08014564625184212,0.056702434206754984,0.18324981078404967,1.0
74.60000000000001,0.42124680265893183,0.041007052790001795,0.043462477875251884,0.013164870384970958,0.29773606378305434,0.10318203181018054,0.08020070069760882,0.056627348260222844,0.18338273250778936,1.0
74.65,0.4211042311417492,0.04094343663092812,0.0434055442855632,0.013146721639146415,0.29788470319757804,0.10325973339532558,0.08025562970970934,0.05655226592470962,0.1835153631050349,1.0
74.7,0.42096234771858104,0.04087988264831736,0.04334861063009058,0.013128577172291841,0.298032879144067,0.10333726933602091,0.08031043335063132,0.05647718780238242,0.18364770268665223,1.0
74.75,0.4208211511827404,0.0408163911080529,0.04329167737306572,0.013110437119831732,0.29818059185085416,0.10341463968179533,0.08036511168365988,0.05640211449289745,0.1837797513654552,1.0
74.8,0.4206806403272505,0.040752962273797204,0.04323474497684241,0.013092301616556763,0.2983278415493558,0.10349184448332342,0.08041966477287377,0.056327046593399176,0.1839115092561972,1.0
74.85000000000001,0.42054081394486226,0.04068959640699903,0.043177813901895595,0.013074170796623942,0.2984746284740573,0.10356888379242053,0.08047409268314125,0.05625198469851954,0.18404297647556178,1.0
74.9,0.42040167082807034,0.04062629376690072,0.04312088460682041,0.013056044793556747,0.29862095286249823,0.10364575766203755,0.08052839548011606,0.05617692940037716,0.18417415314215363,1.0
74.95,0.4202632097691304,0.040563054610545456,0.043063957548331394,0.013037923740245322,0.298766814955258,0.10372246614625596,0.08058257323023335,0.05610188128857672,0.18430503937648932,1.0
75.0,0.4201254295600763,0.0404998791927847,0.04300703318126175,0.013019807768946687,0.29891221499594184,0.10379900930028294,0.08063662600070577,0.056026840950208434,0.18443563530098872,1.0
75.05,0.419988328992736,0.0404367677662854,0.04295011195856255,0.013001697011284936,0.29905715323116583,0.103875387180446,0.08069055385951925,0.055951808969847486,0.18456594103996526,1.0
75.10000000000001,0.4198519068587487,0.040373720581537466,0.04289319433130216,0.012983591598251493,0.29920162991054283,0.10395159984418828,0.0807443568754291,0.055876785929553655,0.18469595671961736,1.0
75.15,0.41971616194958083,0.04031073788686109,0.04283628074866565,0.012965491660205365,0.2993456452866678,0.10402764735006328,0.08079803511795597,0.05580177240887101,0.18482568246801925,1.0
75.2,0.4195810930565429,0.04024781992841417,0.04277937165795421,0.012947397326873418,0.29948919961510356,0.10410352975772993,0.08085158865738182,0.055726768984827625,0.18495511841511175,1.0
75.25,0.4194466989708053,0.04018496695019973,0.04272246750458475,0.012929308727350673,0.29963229315436624,0.1041792471279475,0.08090501756474584,0.05565177623193542,0.18508426469269335,1.0
75.3,0.4193129784834147,0.04012217919407334,0.04266556873208944,0.01291122599010062,0.2997749261659109,0.1042547995225706,0.08095832191184053,0.05557679472219006,0.18521312143441113,1.0
75.35000000000001,0.4191799303853099,0.04005945689975059,0.042608675782115364,0.012893149242955537,0.29991709891411694,0.10433018700454402,0.08101150177120757,0.0555018250250709,0.18534168877575158,1.0
75.4,0.41904755346733824,0.03999680030481456,0.04255178909442429,0.01287507861311687,0.3000588116662742,0.10440540963789796,0.08106455721613395,0.055426867707541155,0.18546996685403191,1.0
75.45,0.4189158465202707,0.039934209644723294,0.042494909106892326,0.012857014227155563,0.3002000646925677,0.10448046748774266,0.08111748832064782,0.05535192333404789,0.18559795580839047,1.0
75.5,0.41878480833481824,0.039871685152817304,0.042438036255509855,0.012838956211012472,0.30034085826606405,0.10455536062026356,0.08117029515951456,0.055276992466522325,0.18572565577977812,1.0
75.55,0.41865443770164723,0.039809227060327114,0.04238117097438135,0.01282090468999875,0.3004811926626966,0.10463008910271626,0.08122297780823277,0.055202075664380096,0.18585306691094905,1.0
75.60000000000001,0.41852473341139496,0.039746835596380765,0.04232431369572533,0.012802859788796282,0.30062106816125106,0.1047046530034214,0.0812755363430303,0.055127173484521605,0.1859801893464517,1.0
75.65,0.4183956942546851,0.03968451098801137,0.04226746484987435,0.012784821631458112,0.3007604850433513,0.10477905239175968,0.08132797084086016,0.05505228648133246,0.18610702323261985,1.0
75.7,0.41826731902214315,0.039622253460164694,0.04221062486527506,0.012766790341408901,0.3008994435934448,0.10485328733816683,0.08138028137939665,0.05497741520668396,0.18623356871756347,1.0
75.75,0.4181396065044115,0.03956006323570669,0.04215379416848832,0.012748766041445404,0.3010379440987883,0.10492735791412856,0.08143246803703129,0.054902560209933726,0.18635982595115985,1.0
75.8,0.41801255549216465,0.039497940535431125,0.04209697318418934,0.01273074885373695,0.3011759868494335,0.10500126419217552,0.08148453089286883,0.05482772203792629,0.18648579508504437,1.0
75.85000000000001,0.4178861647761246,0.03943588557806719,0.042040162335167934,0.012712738899825963,0.30131357213821264,0.10507500624587837,0.08153647002672341,0.0547529012349939,0.18661147627260177,1.0
75.9,0.41776043314707495,0.03937389858028705,0.04198336204232873,0.012694736300628463,0.301450700260724,0.10514858414984253,0.08158828551911436,0.05467809834295719,0.1867368696689569,1.0
75.95,0.41763535939587665,0.03931197975671356,0.041926572724691566,0.012676741176434626,0.30158737151531795,0.1052219979797034,0.08163997745126239,0.05460331390112619,0.18686197543096578,1.0
76.0,0.4175109423134822,0.03925012931992781,0.04186979479939184,0.012658753646909328,0.3017235862030821,0.10529524781212121,0.08169154590508562,0.054528548446301166,0.18698679371720683,1.0
76.05,0.41738718069095054,0.03918834748047686,0.04181302868168094,0.012640773831092723,0.3018593446278274,0.10536833372477605,0.08174299096319555,0.054453802512773666,0.1871113246879716,1.0
76.10000000000001,0.41726407331946164,0.03912663444688133,0.04175627478492675,0.012622801847400828,0.30199464709607354,0.10544125579636282,0.08179431270889315,0.05437907663232758,0.18723556850525597,1.0
76.15,0.41714161899033064,0.03906499042564311,0.04169953352061418,0.012604837813626127,0.30212949391703486,0.10551401410658623,0.08184551122616489,0.054304371334240306,0.18735952533275113,1.0
76.2,0.4170198164950226,0.03900341562125303,0.04164280529834576,0.012586881846938193,0.30226388540260585,0.10558660873615579,0.0818965865996788,0.05422968714528396,0.18748319533583457,1.0
