runId,enableOfflineIntervention,enableOnlineIntervention,forgetTime,govForgetTime,initialOfflineSeeds,initialOnlineSeeds,interventionStartTime,kOffline,kOnline,latentTime,modelMode,offlineGovEffect,offlineRate,onlineGovEffect,onlineRate,pRewire,parameterFile,seedId
M0_T15_onfalse_offtrue_seed30_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363202326,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed30_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363202326.csv,30
M0_T15_onfalse_offtrue_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362371526,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362371526.csv,3
M0_T15_onfalse_offtrue_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362382488,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362382488.csv,3
M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362399248,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362399248.csv,4
M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362410285,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362410285.csv,4
M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362426649,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362426649.csv,5
M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362438433,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362438433.csv,5
M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362457970,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362457970.csv,6
M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362468453,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362468453.csv,6
M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362485507,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362485507.csv,7
