runId,rawFile,rowCount,maxTime,runCompleted,expectedFinalTime,medianDt,minDt,maxDt,hasDuplicateTimes,hasNegativeTimeStep,populationConstant,populationInitial,populationMin,populationMax,qualityNote
M0_T15_onfalse_offtrue_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362382488,raw_timeseries_M0_T15_onfalse_offtrue_seed3_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362382488.csv,104,103,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362399248,raw_timeseries_M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362399248.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362410285,raw_timeseries_M0_T15_onfalse_offtrue_seed4_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362410285.csv,113,112,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362426649,raw_timeseries_M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362426649.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362438433,raw_timeseries_M0_T15_onfalse_offtrue_seed5_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362438433.csv,92,91,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362457970,raw_timeseries_M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362457970.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362468453,raw_timeseries_M0_T15_onfalse_offtrue_seed6_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362468453.csv,112,111,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362485507,raw_timeseries_M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362485507.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362495756,raw_timeseries_M0_T15_onfalse_offtrue_seed7_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362495756.csv,104,103,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362511780,raw_timeseries_M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362511780.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362522706,raw_timeseries_M0_T15_onfalse_offtrue_seed8_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362522706.csv,114,113,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362540076,raw_timeseries_M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362540076.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362550390,raw_timeseries_M0_T15_onfalse_offtrue_seed9_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362550390.csv,106,105,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364502392,raw_timeseries_M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364502392.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364513983,raw_timeseries_M0_T15_ontrue_offfalse_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364513983.csv,129,128,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364536791,raw_timeseries_M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364536791.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364548565,raw_timeseries_M0_T15_ontrue_offfalse_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364548565.csv,127,126,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364571739,raw_timeseries_M0_T15_ontrue_offfalse_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364571739.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364583508,raw_timeseries_M0_T15_ontrue_offfalse_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364583508.csv,126,125,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364607007,raw_timeseries_M0_T15_ontrue_offfalse_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364607007.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364619440,raw_timeseries_M0_T15_ontrue_offfalse_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364619440.csv,136,135,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364643032,raw_timeseries_M0_T15_ontrue_offfalse_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364643032.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364654836,raw_timeseries_M0_T15_ontrue_offfalse_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364654836.csv,133,132,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364679373,raw_timeseries_M0_T15_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364679373.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364691351,raw_timeseries_M0_T15_ontrue_offfalse_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364691351.csv,135,134,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364714970,raw_timeseries_M0_T15_ontrue_offfalse_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364714970.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_ontrue_offfalse_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364726892,raw_timeseries_M0_T15_ontrue_offfalse_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364726892.csv,132,131,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_ontrue_offfalse_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364750705,raw_timeseries_M0_T15_ontrue_offfalse_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781364750705.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
